Horizon,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
LV,0.854719441,0.794213797,0.727515081,0.652556511,0.899807666,0.885372766,0.875136794,0.862360556,0.861174608,0.797218707,0.741875006,0.692969135,0.885098726,0.81386961,0.75265094,0.694233375
sRVFL,0.8890503971,0.851929911,0.8156854091,0.773521016,0.9223847999,0.9109093416,0.9006081005,0.8905088363,0.8680078922,0.8109793147,0.7649802529,0.7237846417,0.8995684095,0.8395106225,0.7889649482,0.7414237851
RVFL,0.8892332775,0.8516401288,0.8164289005,0.7723268352,0.9223270922,0.9108068283,0.9008584466,0.8907972659,0.8674960027,0.8103397498,0.7640776997,0.7233189258,0.899257676,0.8397702009,0.789107285,0.7409063303
dRVFL,0.8900411017,0.85404734,0.8194819051,0.7793430885,0.9225229603,0.9111810284,0.9011987393,0.891209447,0.8688724182,0.8128935796,0.7668312751,0.7258830425,0.9004989826,0.8404652058,0.7903412125,0.743108982
edRVFL,0.8902637369,0.8542205103,0.8172373577,0.7774375554,0.9224975804,0.9112782983,0.9012484331,0.8912088624,0.8685182875,0.8119638476,0.7657759136,0.7248404902,0.8999809209,0.8404034616,0.7897527437,0.7427214514
sELM,0.863834237,0.8390330144,0.7928213157,0.7403035317,0.9204994937,0.9097159991,0.8993405471,0.8885971143,0.8632369354,0.808678438,0.759357279,0.7182110974,0.8947076815,0.8348682821,0.7835738839,0.7378428473
ELM,0.8841005552,0.8482681955,0.8136078757,0.7692087229,0.9212489963,0.910357426,0.9007270139,0.8904663321,0.8665625787,0.8106786873,0.762653785,0.7236272353,0.8959800442,0.8369054403,0.785982286,0.7369666335
ETR,0.8916018546,0.8587797642,0.8266774756,0.7935302238,0.9231930577,0.9123355985,0.9031331111,0.8937506364,0.8713460109,0.8149992706,0.769259455,0.7278058856,0.9016618619,0.8425646295,0.7922771775,0.7449781077
MLP,0.889932334,0.8555404858,0.8228587295,0.7870391357,0.9228432796,0.9109157824,0.9013228092,0.8919112908,0.8694328704,0.8145147713,0.7662395947,0.7293512138,0.8999965923,0.8414710043,0.7920433462,0.7470984186
